,tweet,tweet_clean
15,"USER USER USER USER USER USER Lawan bicara gw gak intelek kyk loe, yg otak gak punya. Ttg kencing onta, gw mengakui hadis nabi dan itu sahih. Kafir kyk loe pasti menolak, makanya loe ahlunnar.'",lawan bicara gw gak intelek kyk loe yg otak gak punya ttg kencing onta gw mengakui hadis nabi dan itu sahih kafir kyk loe pasti menolak makanya loe ahlunnar
16,Belakangan ini kok fikiran ampas banget ya',belakangan ini kok fikiran ampas banget ya
17,Ari sarua beki mah repeh monyet\xf0\x9f\x98\x86\xf0\x9f\x98\x86',ari sarua beki mah repeh monyet
18,Jadi cowo itu harus Gantle kalo ga Gantle itu namanya BANCI !',jadi cowo itu harus gantle kalo ga gantle itu namanya banci
19,USER Slga mnr bom \xf0\x9f\x98\x82',slga mnr bom
20,"Asw ya tapi gua jarang ngambek, tacut wkkwkwkwkw gua kan bucin.'",asw ya tapi gua jarang ngambek tacut wkkwkwkwkw gua kan bucin
21,USER kalo kamu noob pasti peluang disakitin nya lebih gede si',kalo kamu noob pasti peluang disakitin nya lebih gede si
22,"USER Joko Widodo dinilai sebagai presiden terlemah dalam sejarah Indonesia. Hal ini terjadi bukan saja karena Jokowi tidak memiliki modal dukungan politik yang cukup, melainkan juga karena ketidakmampuan pemerintahannya menghadapi situasi ekonomi g",joko widodo dinilai sebagai presiden terlemah dalam sejarah indonesia hal ini terjadi bukan saja karena jokowi tidak memiliki modal dukungan politik yang cukup melainkan juga karena ketidakmampuan pemerintahannya menghadapi situasi ekonomi g
23,PELAJAR SMA KEC BILAH HILIR DEKLARASI ANTI HOAX &amp; PILKADA 2018 DAMAI,pelajar sma kec bilah hilir deklarasi anti hoax pilkada      damai
24,Bandara Udara Internasional Kertajati dibangun oleh Gubernur Ahmad Heryawan tanpa gunakan APBN pemerintah pusat. Insya Allah siap beroperasi bulan depan;,bandara udara internasional keajati dibangun oleh gubernur ahmad heryawan tanpa gunakan apbn pemerintah pusat insya allah siap beroperasi bulan depan
25,"Siapapun gubernur dan presidennya, rakyatnya, ya kitaÂ² juga...",siapapun gubernur dan presidennya rakyatnya ya kitaa  juga
26,Ini si USER kerjaannya delay mulu! Setan!',ini si kerjaannya delay mulu setan
27,menurutku pintu sorga ada yaitu pintu sorga yang asli dan pintu hatimu modusbanget,menurutku pintu sorga ada yaitu pintu sorga yang asli dan pintu hatimu modusbanget
28,RT USER USER USER PKI hanya muncul jika jelang pemilihan kepala daerah dan pemilihan presiden krn digoreng sampai gosong.,pki hanya muncul jika jelang pemilihan kepala daerah dan pemilihan presiden krn digoreng sampai gosong
29,USER USER Itu mah sdh nenek-nenek sy heran sama cebong biasay bohong terus',itu mah sdh nenek nenek sy heran sama cebong biasay bohong terus
30,"USER USER USER USER USER USER USER USER USER Islam Nusantara produk JIL, dipasarkan dg gencar oleh antek\xc2\xb2 JIL.\n\nSementara JIL anti Arab, tapi pro Aseng!\n\nKata (alm) KH. Hasyim Muzadi,",islam nusantara produk jil dipasarkan dg gencar oleh antek  jil sementara jil anti arab tapi pro aseng kata alm kh hasyim muzadi
31,Dari habis sahur sampe jam 10. Sibayik udah nete 4x. Skg rasanya lemas tak terkira \xf0\x9f\xa4\xa2',dari habis sahur sampe jam    sibayik udah nete  x skg rasanya lemas tak terkira
32,USER Gak kak emak mah gak demen ama yang sipit wkwk',gak kak emak mah gak demen ama yang sipit wkwk
33,"RT USER: Kelakuan homok jaman now, ngentot aja sambil live di Blued #gayvid #gvid #lokalhangat URL",kelakuan homok jaman now ngentot aja sambil live di blued url
34,"USER Ga kak, gua bukan orang jawa maaf yak :(; ; gua orang palembang soalnya, kakak aja deh yg belajar aksara jawa. Atau kalak mau belajar budaya palembang?",ga kak gua bukan orang jawa maaf yak gua orang palembang soalnya kakak aja deh yg belajar aksara jawa atau kalak mau belajar budaya palembang
35,Pegawai Guardian training lagi kek Mentang2 gue kek gembel cuman kaos sama Flat shoes nanya dijutekin bangsad emang males belinya juga kabur gua ke matahari',pegawai guardian training lagi kek mentang  gue kek gembel cuman kaos sama flat shoes nanya dijutekin bangsad emang males belinya juga kabur gua ke matahari
36,\xe2\x80\x9dPara Bajingan yang telah melukai Lady harus menerima ganjaran seratus kali lipat!!\xe2\x80\x9d(sanji) ##HBD17thPelautJKT48',para bajingan yang telah melukai lady harus menerima ganjaran seratus kali lipat sanji
37,ajakan menolak berita hoax dan sukseskan pilkada di wilayah kota keidri:,ajakan menolak berita hoax dan sukseskan pilkada di wilayah kota keidri
38,USER USER Presiden RI Jokowi luarBiasa kerja nya tulus IHLAs untuk #RakyatB3rsamaJKW,presiden ri jokowi luarbiasa kerja nya tulus ihlas untuk
39,Edan emang goollnya fabiano!!',edan emang goollnya fabiano
40,GAPERNAH MENDALAMI AL-QURAN YA BANG??? PANTESAN MULUTNYA KAYA ORANG KAFIR BEJAT HINA farhatabbaslaw',gapernah mendalami al quran ya bang pantesan mulutnya kaya orang kafir bejat hina farhatabbaslaw
41,"Sangat terlihat beda sekali Kewibawaannya ,; yg sangat berwibawa cuma gubernur Indonesia USER ; Massya Allah...",sangat terlihat beda sekali kewibawaannya yg sangat berwibawa cuma gubernur indonesia massya allah
42,Anjir baru kali ini lihat orang bego mau debat pilkada. Kerjanya nyerang karakter. Shame on you mpok silvy and agus. #DebatFinalPilkadaJKT,anjir baru kali ini lihat orang bego mau debat pilkada kerjanya nyerang karakter shame on you mpok silvy and agus
43,"#GubernurZamanNow #GusIpulPuti2 #GanjarYasin1 #DjarotSihar2 #HasanAnton2 #KosterAce1 #NurdinSudirman3 #KarolinGidot2 RT USER: ""Keanekaragaman budaya, suku, agama, itulah sesungguhnya kekayaan kita,â?? tutur Djarot di hadapan peserta Rakercabsuâ?¦",keanekaragaman budaya suku agama itulah sesungguhnya kekayaan kita a tutur djarot di hadapan pesea rakercabsua
44,"USER USER Apa iya Islam itu ga boleh dilokalisasi? Lha Kristen aja mas ada Nusantaranya mas, liat aja di Gereja di bandung ada yg pake gamelan dan ada yg khotbah pake bhs Sunda/Jawa, ada HKBP juga kurang Nusantara apa?'",apa iya islam itu ga boleh dilokalisasi lha kristen aja mas ada nusantaranya mas liat aja di gereja di bandung ada yg pake gamelan dan ada yg khotbah pake bhs sunda jawa ada hkbp juga kurang nusantara apa
45,"Ciptakan Situasi Kamtibmas Menjelang Pilkada 2018, Kapolsek Konang Silaturahmi ke Tokoh Masyarakat",ciptakan situasi kamtibmas menjelang pilkada      kapolsek konang silaturahmi ke tokoh masyarakat
46,USER USER positif kok.\nse-positif respon masyarakat terhadap\n- CANGKUL impor\n- GARAM impor\n- BERAS impor\n- JAGUNG impor\n- TENAGA KERJA impor\n- ESEMKA impor\n\nURL,positif kok se positif respon masyarakat terhadap cangkul impor garam impor beras impor jagung impor tenaga kerja impor esemka impor url
47,"USER USER USER USER Kata Sembahyang mengadopsi tradisi lokal pada masa kerjaan Hindu.\n\nIstilah\xc2\xa0sembahyang\xc2\xa0pun lahir dari tradisi ritus\xc2\xa0menyembahHyang (Yang Tunggal), sama dengan\xc2\xa0shalat menyembah All",kata sembahyang mengadopsi tradisi lokal pada masa kerjaan hindu istilah sembahyang pun lahir dari tradisi ritus menyembahhyang yang tunggal sama dengan shalat menyembah all
48,KAU PENDIKAN TINGGI TAPI BODOH....GK ADA LARANG BAWA AGAMA..BIAR ORANG ISLAM YG DI BAYAR AHOK SADAR GK JADI MILIH AHOK GLA,kau pendikan tinggi tapi bodoh gk ada larang bawa agama biar orang islam yg di bayar ahok sadar gk jadi milih ahok gla
49,"USER USER BTP the best ,,,abaikan kaum kampret otak micin ,,,'",btp the best abaikan kaum kampret otak micin
50,"USER USER , si otak tempurung mah ga usah d ladenin. Smkn d lawan semakin Bloon dan Dungu. Dan kalo ga gitu dia ga makan. Hehe'",si otak tempurung mah ga usah d ladenin smkn d lawan semakin bloon dan dungu dan kalo ga gitu dia ga makan hehe
51,"USER Awaasss... Jgn sampe beritanya sampe ke akhi gerung! Ntar susah nyari kosakatany. klu bcr aja micingin mata, bibir monyong kesamping, suara keluar ky lg nhn kentut.. ""politik kotor skl jmn ini!"". Klu tahu brt ini.. Plng Sambil ky nhn ngeden..""dungu!"". \xf0\x9f\x98\x8b",awaasss jgn sampe beritanya sampe ke akhi gerung ntar susah nyari kosakatany klu bcr aja micingin mata bibir monyong kesamping suara keluar ky lg nhn kentut politik kotor skl jmn ini klu tahu b ini plng sambil ky nhn ngeden dungu
52,pinokio umur 3 taonan tuh. #2019GantiPresiden,pinokio umur   taonan tuh
53,"USER Cerita silat lae \xf0\x9f\x98\x80 semacam Kho Ping Hoo yang dari Indonesia, tapi Liang Ie Shen penulis dari China'",cerita silat lae semacam kho ping hoo yang dari indonesia tapi liang ie shen penulis dari china
54,RT USER benci sekali dgn Umat Islam,benci sekali dgn umat islam
55,"USER USER USER ""Provokasi mayat, politisasi agama"" penyebab kekalahan pilkada DKI, beginilah cara cebong mendeskripsikan kekalahan junjungannya.; FYI ahog blm pernah ikut pemilihan apapun (kec jd wakil) dan dia bukanlah etnis mayorita",provokasi mayat politisasi agama penyebab kekalahan pilkada dki beginilah cara cebong mendeskripsikan kekalahan junjungannya fyi ahog blm pernah ikut pemilihan apapun kec jd wakil dan dia bukanlah etnis mayorita
56,USER dari pada gua nete',dari pada gua nete
57,USER Lol bani lowo',lol bani lowo
58,"Takabur bisa lahir dari siapa saja. Penguasa, rakyat, ulama maupun cendikia. Bahkan iblis mahluq yg alim &amp; telah beribadah beratus2 th dilaknat krn hasud takabburnya. Apalagi hanya seorang ahli ilmu filsafat yg tdk failosof; ; Mari kita demo diri sendi",takabur bisa lahir dari siapa saja penguasa rakyat ulama maupun cendikia bahkan iblis mahluq yg alim telah beribadah beratus  th dilaknat krn hasud takabburnya apalagi hanya seorang ahli ilmu filsafat yg tdk failosof mari kita demo diri sendi
59,"A orang yang suka ke konser-konser, sedikit boros.",a orang yang suka ke konser konser sedikit boros
60,[ SAMPAI KAPAN MAKAN RACUN ? ]; _; Banyak ulama yang mengatakan hukum rokok mubah dan ada jugaâ?¦,sampai kapan makan racun banyak ulama yang mengatakan hukum rokok mubah dan ada jugaa
61,Susilo Bambang Yudhoyono Presiden RI ke 6 meminta Khofifah Emil untuk dekat dengan masyarakat . No 1 Bisa ! BaGusS #KhofifahEmilNomer1,susilo bambang yudhoyono presiden ri ke   meminta khofifah emil untuk dekat dengan masyarakat no   bisa baguss
62,"USER udah biasa kali. Gue kpoper tapi kalo ngomonv sama temen2 gue, idol gua banci homo'",udah biasa kali gue kpoper tapi kalo ngomonv sama temen  gue idol gua banci homo
63,Saya suka video USER URL Awal Kisah Perseteruan Haji Bolot &amp; Malih Tongtong',saya suka video url awal kisah perseteruan haji bolot malih tongtong
64,"Budaya kafir bersungguh, klau hal2 islam tidak diendahkan...",budaya kafir bersungguh klau hal  islam tidak diendahkan
65,"USER USER USER USER \xf0\x9f\x8e\xb6 la la la...hm hmm \xf0\x9f\x8e\xa7 ""Semua diam ,semua bisu""\n""Kita coba tanya sama rumput yg bergoyang"" \n\xe2\x99\xab\xe2\x99\xab\xe2\x99\xab\xe2\x99\xaa\xe2\x99\xaa\xe2\x99\xaa'",la la la hm hmm semua diam semua bisu kita coba tanya sama rumput yg bergoyang
66,"Apabila setan membisikkan was-was kepadamu, mintalah perlindungan kepada Allah. (QS. al-A\xe2\x80\x99raf: 200 dan Fushilat: 36).'",apabila setan membisikkan was was kepadamu mintalah perlindungan kepada allah qs al a raf     dan fushilat   
67,USER USER USER USER USER USER USER Klw ente atheis..ngapain sibuk dgn agama orang...,klw ente atheis ngapain sibuk dgn agama orang
68,Lengserkan Jokowi Bangsat!!,lengserkan jokowi bangsat
69,USER Selamat hari kartini ; ; #2019GANTIPRESIDEN; #2019PRESIDENBARU,selamat hari kaini
70,"RT USER: Bajingan Homo!!!\nHati2 terhadap anak2 kita terutama di kamar mandi laki2, jgn biarkan sendiri! URL",bajingan homo hati  terhadap anak  kita terutama di kamar mandi laki  jgn biarkan sendiri url
71,USER Iya cocot',iya cocot
72,USER karena budaya indonesia.,karena budaya indonesia
73,"USER Yang ngajarin solat'a ajah itu orang aseng dia hanya ingin memecah belah islam""",yang ngajarin solat a ajah itu orang aseng dia hanya ingin memecah belah islam
74,USER x || Lo ngomong aja kaga bener bangke',x lo ngomong aja kaga bener bangke
75,USER USER Kita semua tidak pernah akan mempercayai yg negara Kita disuatu hari nanti akan dijajah oleh kerana terdapat kes2pembubaran sistem2 beraja dinegara Kita kini untuk menjadikan sebagai negara republik komunis padahal negara2 penjaja,kita semua tidak pernah akan mempercayai yg negara kita disuatu hari nanti akan dijajah oleh kerana terdapat kes pembubaran sistem  beraja dinegara kita kini untuk menjadikan sebagai negara republik komunis padahal negara  penjaja
76,tapi masih menikmati kebijakan yang dulu diusulkan PKI.. lha yo opo...,tapi masih menikmati kebijakan yang dulu diusulkan pki lha yo opo
77,Kalo seumpama orang cina di usir paksa dari indonesia gimana,kalo seumpama orang cina di usir paksa dari indonesia gimana
78,USER bunda ngentot yuk',bunda ngentot yuk
79,RT USER: china babi... china maling...\n#UsirChina https:\/\/t.co\/9y4HIWHJp2,china babi china maling
80,"Bung Karno anti asing dan beliau dari Jawa, coba deh adain konsensus lebih banyak mana Jawa yang anti asing atau pro asing karena kebo*ohannya. \n\nKalau kami keliru kami tutup akun'",bung karno anti asing dan beliau dari jawa coba deh adain konsensus lebih banyak mana jawa yang anti asing atau pro asing karena kebo ohannya kalau kami keliru kami tutup akun
81,PROYEK KORUPSI REZIM SBY URL,proyek korupsi rezim sby url
82,"USER Wajar saja, lihat saja tingkah bbrp petinggi negeri ini yg suka mencampur bhs indonesia dgn bhs asing setiap kali bicara'",wajar saja lihat saja tingkah bbrp petinggi negeri ini yg suka mencampur bhs indonesia dgn bhs asing setiap kali bicara
83,AB: pribadi yg senang berkompetisi dalam hal yang baik dan positif,ab pribadi yg senang berkompetisi dalam hal yang baik dan positif
84,USER USER Terus menurut lo kitab suci agAma apa yg di bilang om USER ; ; #Mendadakkalap,terus menurut lo kitab suci agama apa yg di bilang om
85,USER Suka nutup mata. Kaga ditutup pun udah terlihat tertutup gara2 sipit /?',suka nutup mata kaga ditutup pun udah terlihat teutup gara  sipit
86,"USER Sy sbg muslim tdk merasa pak USER menistakan kitab suci Alqur'an, krn dlm Alqur'an sndri ada bbrp suku kata yg smpai dtik ini blm diketahui mkna faktualnya olh umat islam, tp kami yakini kata tsb ada makna yg tersirat (fiksi) yg blm",sy sbg muslim tdk merasa pak menistakan kitab suci alqur an krn dlm alqur an sndri ada bbrp suku kata yg smpai dtik ini blm diketahui mkna faktualnya olh umat islam tp kami yakini kata tsb ada makna yg tersirat fiksi yg blm
87,USER eh kasar kau kampang',eh kasar kau kampang
88,"BENTAR LAGI GUA RILIS ALBUM THE ONTA'S WKWKWKWKWK""",bentar lagi gua rilis album the onta s wkwkwkwkwk
89,USER Ada cebong bang dia merasa paling benar',ada cebong bang dia merasa paling benar
90,Najis banget gw ngetwit apa barusan wey',najis banget gw ngetwit apa barusan wey
91,Kamu transgender atau gmn anjing :( URL,kamu transgender atau gmn anjing url
92,USER awas bintitan lu ngintipin titit kucing',awas bintitan lu ngintipin titit kucing
93,"USER USER Bawel, baper, bolot, baik, bodor , gaje wkwk apa ya udah itu aja deh'",bawel baper bolot baik bodor gaje wkwk apa ya udah itu aja deh
94,"USER USER USER USER Gue saranin gk perlu bnyk bacot maling ayat, langsung to the point aja lu jadi orang... Yg tdk sepaham lu teriakin aja kafir sesat, liberal, pemuja dukun, bla blaaa.. pasti hatimu puas dehh ..'",gue saranin gk perlu bnyk bacot maling ayat langsung to the point aja lu jadi orang yg tdk sepaham lu teriakin aja kafir sesat liberal pemuja dukun bla blaaa pasti hatimu puas dehh
95,Jgn salah target bkn ahok... agenda utama lengserkan Jokowi ..,jgn salah target bkn ahok agenda utama lengserkan jokowi
96,USER USER masa baru kena hestek aja udah kepanasan ??? Kepo banget ; ; #2019GantiPresiden,masa baru kena hestek aja udah kepanasan kepo banget
97,"Maju lu sini duit tapi kau goyang kaki tak buat pape , mana la duit nak maju kat kau bodo URL",maju lu sini duit tapi kau goyang kaki tak buat pape mana la duit nak maju kat kau bodo url
98,"USER HKBP berdiri itu sejak pecahnya kristen khatolik pada zaman penjajahan belanda,dl tdk ada yg namanya kristen protestan yg ada cm kristen khatolik.\nTerjadilah perpecahan dan berdirilah HKBP yg prtama kali di tarutung.\n\nNah skrg anda sy k",hkbp berdiri itu sejak pecahnya kristen khatolik pada zaman penjajahan belanda dl tdk ada yg namanya kristen protestan yg ada cm kristen khatolik terjadilah perpecahan dan berdirilah hkbp yg pama kali di tarutung nah skrg anda sy k
99,"Ha .. ha .. Banyak baca biar pintar ... JEPANG, AMERIKA, CHINA... Utang sama siapa ... Anda tau enggak ..?",ha ha banyak baca biar pintar jepang amerika china utang sama siapa anda tau enggak
100,Prabowo Sudah Kalah Menyebut Bantuan Jokowi Hanya Pencitraan Adalah Ratapan Pilu,prabowo sudah kalah menyebut bantuan jokowi hanya pencitraan adalah ratapan pilu
101,USER USER dan yang takut dengan adzan adalah IBLIS',dan yang takut dengan adzan adalah iblis
102,USER USER Yg goblog itu adalah bani cebong tukang tipu penjilat penguasa yg ketahuan gerakin masa yg dibayar pakai nasi bungkus. Propaganda nasi bungkus memang selalu gagal.',yg goblog itu adalah bani cebong tukang tipu penjilat penguasa yg ketahuan gerakin masa yg dibayar pakai nasi bungkus propaganda nasi bungkus memang selalu gagal
103,USER USER USER USER Wuih... cebong sewot...\n\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82',wuih cebong sewot
104,2. Gerakan ini menekankan pentingnya kerja keras secara total untuk tingkatkan potensi bangsa,  gerakan ini menekankan pentingnya kerja keras secara total untuk tingkatkan potensi bangsa
105,Padahal gubernur saat ini Djarot. Mayoritas partai politik di DPRD juga pendukung Ahok Djarot. Payah ya mereka USER URL,padahal gubernur saat ini djarot mayoritas paai politik di dprd juga pendukung ahok djarot payah ya mereka url
106,"USER rezim rusak bukan memperbaiki systeamnya malah sibuk cari2 kesalahan klu itu pasti ketemu aja, KPK alatnya, besok pemerintah berganti berulang kembali engah pernah selesai siapapun organisasi, orangnya'",rezim rusak bukan memperbaiki systeamnya malah sibuk cari  kesalahan klu itu pasti ketemu aja kpk alatnya besok pemerintah berganti berulang kembali engah pernah selesai siapapun organisasi orangnya
107,"Saat orang orang saling menuding antek aseng, aseng sesungguhnya bertepuk tangan.'",saat orang orang saling menuding antek aseng aseng sesungguhnya beepuk tangan
108,USER Nah loh katanya anti aseng',nah loh katanya anti aseng
109,"Selamat Pak USER Semoga Bisa Terus Berkiprah, Bahkan Tingkat Nasional.",selamat pak semoga bisa terus berkiprah bahkan tingkat nasional
110,#AsyikM3nang saya sih ikut ulama saja,saya sih ikut ulama saja
111,USER Yang saya ketahui bahwa diketapang banyak tka asing yg berkerja di berbagai perusahaan. Termasuk pt who tambang bouksid yg viral saat pilpres dulu. \nDan bisa jadi ini karena kerja sama tsb terjadi di era gubernur cornelis dan wakilnya ora,yang saya ketahui bahwa diketapang banyak tka asing yg berkerja di berbagai perusahaan termasuk pt who tambang bouksid yg viral saat pilpres dulu dan bisa jadi ini karena kerja sama tsb terjadi di era gubernur cornelis dan wakilnya ora
112,USER Anak pecun... ga jauh2 dr hobi zina.. haha',anak pecun ga jauh  dr hobi zina haha
113,USER QUE BOM SBBSNSN',que bom sbbsnsn
114,"USER Istirahat aja pak presiden momentum sudah berlalu, saya pernah jadi saksi telinga dan mata awal rapat pembentukan PD di Pacitan tahun 2003",istirahat aja pak presiden momentum sudah berlalu saya pernah jadi saksi telinga dan mata awal rapat pembentukan pd di pacitan tahun     
115,"Pada 1979, House Select Committee on Assassinations (HSCA) menemukan cacat investigasi yang dilakukan FBI dan Warren Commission. HSCA juga menyimpulkan ada empat tembakan yang dilakukan dan kemungkinan terdapat konspirasi di dalamnya.'",pada      house select committee on assassinations hsca menemukan cacat investigasi yang dilakukan fbi dan warren commission hsca juga menyimpulkan ada empat tembakan yang dilakukan dan kemungkinan terdapat konspirasi di dalamnya
116,"USER Tak terasa genap 1 tahun mendatang 17 April 2018 akan digelar Hajatan pilpres, acara tahunan Negara Indonesia untuk memilih Presiden. Semoga senantiasa berjalan aman dan lancar. Amin.",tak terasa genap   tahun mendatang    april      akan digelar hajatan pilpres acara tahunan negara indonesia untuk memilih presiden semoga senantiasa berjalan aman dan lancar amin
117,USER Ian pantat',ian pantat
118,"USER USER Ngakunya org pintar dan beragama, emangnya agama mana yg memperbolehkan menista dan menghujat org lain???. Jgnkan orang bodoh, org yg ( maaf) sejak lahir idiot sekalipun dia, kita hrs hargain sebagai sesama ciptaan Tuhan. Ingat : iblis itu juga pintar dan sangat licik!!!'",ngakunya org pintar dan beragama emangnya agama mana yg memperbolehkan menista dan menghujat org lain jgnkan orang bodoh org yg maaf sejak lahir idiot sekalipun dia kita hrs hargain sebagai sesama ciptaan tuhan ingat iblis itu juga pintar dan sangat licik
119,Pendaftaran Capres untuk #Pilpres2019 saja belum dibuka sampai Agustus 2018...yang normatif begini politikus PDIP masih belum paham? #2019GantiPresiden !!,pendaftaran capres untuk saja belum dibuka sampai agustus      yang normatif begini politikus pdip masih belum paham
120,Si tolol udah tau pemerintah rezim komunis ini bobrok koruptor bisa pimpinan sidang DPR paya cebong URL,si tolol udah tau pemerintah rezim komunis ini bobrok koruptor bisa pimpinan sidang dpr paya cebong url
121,dari dulu kenapa bapak w kalau ke mantan mantan w selalu mgerasa sedih ampe kepikiran dan gabisa tidur lohh?!! dan w ngerasa jadi anak yg brengsek aja gt ke laki2 :)))',dari dulu kenapa bapak w kalau ke mantan mantan w selalu mgerasa sedih ampe kepikiran dan gabisa tidur lohh dan w ngerasa jadi anak yg brengsek aja gt ke laki 
122,Cina perusak bangsa!! Usir !! Stuju??,cina perusak bangsa usir stuju
123,#2019GantiPresiden scra konstitusional hak setiap rakyat woiii!! . Gini nih kalo planga plongo tapi kelakuan otoriter.,scra konstitusional hak setiap rakyat woiii gini nih kalo planga plongo tapi kelakuan otoriter
124,Mari kita wujudkan Pilkada Kota Bengkulu 2018 aman dan damai.; .; .; coki_adem86 98heruâ?¦,mari kita wujudkan pilkada kota bengkulu      aman dan damai coki adem     herua
125,"Mau tanya serius ini sm presiden jokowi======= knp yg ada cm islam nusantara,knp tdk ada kristen nusantara,budha,hindu bahkan kong huchu nusantara???'",mau tanya serius ini sm presiden jokowi knp yg ada cm islam nusantara knp tdk ada kristen nusantara budha hindu bahkan kong huchu nusantara
126,KORSA: Pernyataan Moeldoko Bukti Istana Takut dengan Kebangkitan Umat Islam,korsa pernyataan moeldoko bukti istana takut dengan kebangkitan umat islam
127,cowo yang jago drasex mana? sini ngentot sama adek - luvian',cowo yang jago drasex mana sini ngentot sama adek luvian
128,"USER kroasia itu kapir tauuu,ngapain blajar sm kapir...udh lupa sm kapling sorga??'",kroasia itu kapir tauuu ngapain blajar sm kapir udh lupa sm kapling sorga
129,USER USER loh bukan nya mentri suharto ada yg homo?',loh bukan nya mentri suhao ada yg homo
130,Gue tau loh bukan yang dulu yang masih culun dan cemen semua orang pasti akan berubah perlahan2 entah itu baik / buruk :)',gue tau loh bukan yang dulu yang masih culun dan cemen semua orang pasti akan berubah perlahan  entah itu baik buruk
131,Pada perang salib dulu itu kerajaan di Afrika terbagi dua yakni Babilonia pemeluk kristen dan Tobaco pemeluk islam',pada perang salib dulu itu kerajaan di afrika terbagi dua yakni babilonia pemeluk kristen dan tobaco pemeluk islam
132,"Kejar setorang memang cukup bangsad, mana rupiah turun \xf0\x9f\x98\xa5'",kejar setorang memang cukup bangsad mana rupiah turun
133,"Moga ini ada tindak lanjutnya!; ; Pelaporan terhadap ?penista agama? Ade Armando akan dilakukan langsung oleh Ketua Umum FPI KH. Shobri Lubis ke Bareskrim Mabes Polri, Gambir, Jakarta Pusat pada Selasa (10/4) pukul 13.00 WIB.; #Perhaps USER;",moga ini ada tindak lanjutnya pelaporan terhadap penista agama ade armando akan dilakukan langsung oleh ketua umum fpi kh shobri lubis ke bareskrim mabes polri gambir jakaa pusat pada selasa      pukul       wib
134,USER USER USER USER USER USER USER USER Bangke.. hajar!!!!',bangke hajar
135,USER USER USER .\nOnta mati klo kebanyakan Minum',onta mati klo kebanyakan minum
136,URL Ahok tng mrka trus was-was hdpnya USER USER USER USER USER USER USER,url ahok tng mrka trus was was hdpnya
